,claim,year_of_publish,month_of_publish,day_of_publish,truth_value,Unnamed: 0
2011,House Speaker Nancy Pelosi is the highest-ranking U.S. leader to visit Ukraine since the Russian invasion. ,2022,May,1,meter-true,2011.0
2012,"Russian-occupied Kherson faces new restrictions, and fighting continues in Kharkiv.",2022,May,1,meter-true,2012.0
2013,"To actually enable Ukraine to go on the counteroffensive, it will need even more support. ",2022,April,30,meter-true,2013.0
2014,"Ukrainian leaders have been warning for weeks that up to 1,000 civilians were still at the besieged site and growing short on food and water.",2022,April,30,meter-true,2014.0
2015,Images of resilience and loss from the front.,2022,April,29,meter-true,2015.0
2016,"Willy Joseph Cancel, a 22-year-old American citizen and U.S. Marine veteran fighting in Ukraine, was killed during the Russian invasion this week, according to his family. ",2022,April,29,meter-true,2016.0
2017,Ukraine's neighbor faces an imperial Russian challenge that is strikingly familiar. ,2022,April,28,meter-true,2017.0
2018,Weakening aggressive authoritarian states is exactly what the U.S. should be doing. ,2022,April,28,meter-true,2018.0
2019, Ukrainian officials denounced a brazen attack on the capital city the same day a United Nations leader visited.,2022,April,28,meter-true,2019.0
2020,The only way to deal with the expectations Mr. Scholz raised on Feb. 27 is to meet them.,2022,April,27,meter-true,2020.0
2021,"The Kremlin’s move to cut off natural gas shipments to Bulgaria and Poland was a blow to the E.U. Ukraine calls reports of explosions in Russia ""karma.""",2022,April,27,meter-true,2021.0
2022,The details of alleged rapes by Russian soldiers are emerging from formerly occupied areas,2022,April,26,meter-true,2022.0
2023,"Meeting in Germany with officials from more than 40 countries, the United States’ top defense officials made an urgent case for sending more weapons to Ukraine.",2022,April,26,meter-true,2023.0
2024,An indictment would represent a landmark moment to hold senior officials accountable.,2022,April,26,meter-true,2024.0
2025,American officials say they are rushing equipment to Ukraine and resuming diplomatic activity in the country.,2022,April,25,meter-true,2025.0
2026,Ukrainian President Volodymyr Zelensky said top U.S. officials “should not come here with empty hands.” ,2022,April,24,meter-true,2026.0
2027,"“Well, this only confirms what I have said many times: The Russian invasion of Ukraine was intended only as a beginning, then they want to capture other countries,"" Ukrainian President Volodymyr Zelensky responded Friday night.",2022,April,22,meter-true,2027.0
2028,Some wineries have halted production and pivoted to supporting the refugees and Ukrainian fighters while others contemplate finding other markets amidst war-disrupted supply chain issues.,2022,April,21,meter-true,2028.0
2029,"Ukraine's Zelensky said Russia ""so far” rebuffed attempts to evacuate civilians from Mariupol's Azovstal steel plant.
",2022,April,21,meter-true,2029.0
2030,Aiden Aslin had been fighting alongside Ukrainian forces defending the port city of Mariupol.,2022,April,20,meter-true,2030.0
2031,"For days now, Ukraine has rebuffed Russian deadlines to surrender in the southern port city.",2022,April,20,meter-true,2031.0
2032,"Ukrainian Jews, fleeing war, have qualified for citizenship in Israel. But thousands of non-Jews have arrived, sparking debate over what refugees are owed.",2022,April,19,meter-true,2032.0
2033,"Luhansk's regional governor said Kreminna is “under the control” of Russian forces. The Azovstal steel plant in Mariupol came under attack, officials said.",2022,April,19,meter-true,2033.0
2034,The brutality should motivate the West to do anything within its lawful power to stop Russia from achieving its ends.,2022,April,19,meter-true,2034.0
2035,Patriarch Kirill has angered many in echoing the language Vladimir Putin uses to justify the Ukraine invasion.,2022,April,18,meter-true,2035.0
2036,"Moscow has for weeks been amassing troops and supplies in preparation for its renewed assault on the Donbas region, which became the Kremlin’s primary focus after its forces failed to capture Kyiv during the first phase of the invasion. ",2022,April,18,meter-true,2036.0
2037,"Russian officials warned Sunday that resistance in the port city of Mariupol will be “eliminated,” hours after their dawn deadline for Ukraine to surrender passed without any sign of Kyiv capitulating.",2022,April,17,meter-true,2037.0
2038,"Ukrainian President Volodymyr Zelensky also said his country’s military has lost an estimated 2,500 to 3,000 troops since the Feb. 24 invasion. ",2022,April,16,meter-true,2038.0
2039,TikTok could also prove its commitment to free expression.,2022,April,16,meter-true,2039.0
2040,European nations are weighing climate benefits against the perils of putting nuclear power plants in harm’s way. ,2022,April,15,meter-true,2040.0
2041,"Ukraine's president noted the irony of Moscow refocusing attacks on his country's east, where many Russian speakers live. ",2022,April,15,meter-true,2041.0
2042,"Soaring prices for imports of wheat, fuel and fertilizer threaten an economic and political toll.",2022,April,15,meter-true,2042.0
2043,"The Kremlin’s invasion sparked a refugee crisis, forced nations to rethink neutrality and threatens the global economy.",2022,April,14,meter-true,2043.0
2044,Russia warned it could deploy more nuclear weapons in the region if Finland and Sweden join NATO. ,2022,April,14,meter-true,2044.0
2045,"Russia stands accused of genocide, yet Israel still won’t do more to help Ukraine.",2022,April,13,meter-true,2045.0
2046,"Meanwhile, President Biden announced a new batch of federal judicial nominees, bringing his total for his term to 90. He is getting judges confirmed at a faster clip than any president since John F. Kennedy.",2022,April,13,meter-true,2046.0
2047,Satellite images captured by U.S. firm Maxar Technologies show Russian forces repositioning in Ukraine’s east.,2022,April,13,meter-true,2047.0
2048,The Russian leader made the remarks after a meeting with Belarusian President Alexander Lukashenko in Russia’s far-eastern Amur region.,2022,April,12,meter-true,2048.0
2049,Facebook’s third-party fact-checkers in Ukraine are trying to police a deluge of misinformation while also trying to survive.,2022,April,12,meter-true,2049.0
2050,Putin conferred with Belarusian President Alexander Lukashenko as the United States and its allies sought to verify unconfirmed reports of a Russian chemical attack in Mariupol.,2022,April,12,meter-true,2050.0
2051,The musician’s cover was in support of Global Citizen’s #StandUpForUkraine fundraising effort.,2022,April,11,meter-true,2051.0
2052,"The regional governor of Kharkiv said the town of Izyum “remains the hottest spot” of the war, as Russia moves more equipment and troops into place, in preparation for what Zelensky described as “even larger operations in the east of our state.” ",2022,April,11,meter-true,2052.0
2053,"Post reporters Joyce Koh, Max Bearak and Louisa Loveluck — who have all been reporting on the ground in Bucha, Ukraine — will answer your questions on Tuesday at 1 p.m. Eastern time. ",2022,April,11,meter-true,2053.0
2054,There were small shiny black boots. Cozy slippers. The 210 pairs represented the reported number of children who died in Russia's war for Mariupol.,2022,April,10,meter-true,2054.0
2055,"Russia’s invasion of Ukraine, after a shift away from efforts to take Kyiv, is proceeding primarily on two fronts, Ukrainian officials said Sunday.",2022,April,10,meter-true,2055.0
2056,British Prime Minister Boris Johnson and other European leaders visit Kyiv in show of support. ,2022,April,9,meter-true,2056.0
2057,"""If I remain silent, I’m not a priest,"" the Rev. Ioann Burdin said.",2022,April,8,meter-true,2057.0
2058,Could Chinese President Xi Jinping take a page from Theodore Roosevelt’s playbook to end the war in Ukraine?,2022,April,8,meter-true,2058.0
2059,"When war feels close to home, images function differently.",2022,April,8,meter-true,2059.0
2060,"Civilians have always played a role in documenting conflicts and humanitarian crises, but the advent of social media brought unprecedented speed and reach. In the past decade, military and media analysts say, “civilian witnessing” has evolved into a powerful force because of its ability to break through public apathy, fact-check official propaganda and create a digital trove of evidence for potential war crimes investigations. ",2022,April,8,meter-true,2060.0
2061,Ukrainian officials said Russian missiles struck the Kramatorsk train station in eastern Ukraine while hundreds of evacuees were waiting to escape an expected onslaught in the region. ,2022,April,8,meter-true,2061.0
2062,"For all its defects, the U.N. offers potential advantages to the cause of peace and security — in Ukraine and elsewhere.",2022,April,7,meter-true,2062.0
2063,Israel is running out of excuses for inaction.,2022,April,7,meter-true,2063.0
2064,"Moscow’s Foreign Ministry spokesman said this week that Chanel had joined the “Russophobic campaign” to “cancel Russia.""",2022,April,7,meter-true,2064.0
2065,Global outrage has grown since the brutal slaying of civilians in the Kyiv suburb of Bucha was revealed after Russian forces withdrew. ,2022,April,7,meter-true,2065.0
2066,New sanctions that will include two of the country’s largest banks as well as Russian President Vladimir Putin’s adult children.,2022,April,6,meter-true,2066.0
2067,The legal process for holding the Russian president and his army accountable has begun.,2022,April,6,meter-true,2067.0
2068,China's close ties with Russia have become a sticking point for the West as it works to isolate Moscow over the war.,2022,April,6,meter-true,2068.0
2069,"International outrage over alleged war crimes in a Kyiv suburb is deepening Moscow’s isolation, as the European Commission proposes a ban on Russian coal and the United States plans a new package of sanctions.
",2022,April,5,meter-true,2069.0
